Travel Is No Cure for the Mind,272581,https://medium.com/articles/e449d3109d71,2018-03-21,Personal Growth,40093,1064,15.77,"life-lessons,philosophy,travel,mindfulness,self-improvement"
My name is Wil Wheaton. I Live With Chronic Depression and Generalized Anxiety. I Am Not Ashamed.,258821,https://medium.com/articles/8f693f9c0af1,2018-06-01,,32591,0,17.01,"mental-health,depression,nami,anxiety"
I created the exact same app in React and Vue. Here are the differences.,100559,https://medium.com/articles/e9a1ae8077fd,2018-07-24,JavaScript in Plain English,12943,202,12.00,"javascript,react,vuejs,web-development,programming"
How To Wake Up at 5 A.M. Every Day,95220,https://medium.com/articles/ceb02e29c802,2019-10-03,Better Humans,25842,1134,14.33,"productivity,self-improvement,personal-development,sleep,habits"
Do Not Fall in Love with a Smart| Introverted Man,65186,https://medium.com/articles/8792ac8ca4cd,2018-11-07,P.S. I Love You,13324,1060,3.95,"love,dating,introvert,nonfiction,relationships"
The Making of Apple’s Emoji: How designing these tiny icons changed my life,46749,https://medium.com/articles/16317250a9ee,2018-01-11,,5525,127,5.55,"emoji,technology,design,apple,iphone"
Thoughts on Israel and Gaza,41722,https://medium.com/articles/a6c397f09a30,2023-10-23,,6348,1144,4.58,
Maintaining Professionalism In The Age of Black Death Is….A Lot,37382,https://medium.com/articles/5eaec5e17585,2020-05-29,,6265,189,2.92,"police-brutality,blacklivesmatter,workplace,professionalism"
The Real Way to Figure Out How Smart Someone Is,34979,https://medium.com/articles/a621389e540c,2021-08-25,,5638,497,5.14,"self,work,creativity,intelligence,society"
We Can’t Afford to Live Anymore| and The Rich Are Gaslighting Us,33418,https://medium.com/articles/ac8e5bc9b455,2021-03-11,An Injustice!,4459,377,4.87,"money,society,economy,life,millennials"
Donald Trump Won| No Matter What Happens Next,32930,https://medium.com/articles/203f7c3a55c7,2020-11-04,The Apeiron Blog,5111,457,6.65,"politics,society,election-2020,equality,donald-trump"
We’re All Paying for Someone Else’s 4-Hour Work Week| Not Ours,31669,https://medium.com/articles/68b2168af55,2021-05-30,An Injustice!,3641,304,7.10,"society,equality,money,life,books"
It’s No Wonder Men Objectify Us When Our Bodies Are Asking for It,31021,https://medium.com/articles/bf3a3c047476,2021-08-31,The Virago,5586,732,4.92,"feminism,culture,life,body-image,women"
The 5 Most Overrated Personalities on The Planet,30908,https://medium.com/articles/bdd4f621aa2a,2021-03-10,The Apeiron Blog,4422,404,6.60,"society,life,humor,self-improvement,culture"
American Passports Are Worthless Now (Map),29987,https://medium.com/articles/53b20678a80e,2020-07-09,,5111,362,4.41,"usa,coronavirus,travel,world,health"
